Methanomicrobia,Euryarchaeota
Methanocellales,Methanomicrobia
Methanocellaceae,Methanocellales
Methanomicrobiales,Methanomicrobia
Methanocalculaceae,Methanomicrobiales
Methanocorpusculaceae,Methanomicrobiales
Methanomicrobiaceae,Methanomicrobiales
Methanoregulaceae,Methanomicrobiales
Methanospirillaceae,Methanomicrobiales
unclassified Methanomicrobiales,Methanomicrobiales
Methanosarcinales,Methanomicrobia
Candidatus Methanoperedenaceae,Methanosarcinales
Methanosaetaceae,Methanosarcinales
Methanosarcinaceae,Methanosarcinales
Methermicoccaceae,Methanosarcinales
unclassified Methanosarcinales,Methanosarcinales
unclassified Methanomicrobia,Methanomicrobia
ANME-1 cluster,unclassified Methanomicrobia
Arc I group,unclassified Methanomicrobia
Methanomicrobia archaeon DTU008,unclassified Methanomicrobia
Methanomicrobia archaeon JdFR-19,unclassified Methanomicrobia
Methanomicrobia archaeon UBA590,unclassified Methanomicrobia
Euryarchaeota,Archaea
Theionarchaea,Euryarchaeota
Methanopyri,Euryarchaeota
Thermococci,Euryarchaeota
Thermoplasmata,Euryarchaeota
Thermoplasmatales,Thermoplasmata
Methanomassiliicoccales,Thermoplasmata
Cuniculiplasmataceae,Thermoplasmatales
Ferroplasmaceae,Thermoplasmatales
Picrophilaceae,Thermoplasmatales
Thermoplasmataceae,Thermoplasmatales
unclassified Thermoplasmatales,Thermoplasmatales
Methanomassiliicoccaceae,Methanomassiliicoccales
unclassified Methanomassiliicoccales,Methanomassiliicoccales
Thermococcaceae,Thermococcales
Thermococcales,Thermococci
Theionarchaea archaeon DG-70,unclassified Theionarchaea
Theionarchaea archaeon DG-70-1,unclassified Theionarchaea
unclassified Theionarchaea,Theionarchaea
Methanopyraceae,Methanopyrales
Methanopyrales,Methanopyri
unclassified Euryarchaeota (miscellaneous),unclassified Euryarchaeota
Euryarchaeota archaeon,unclassified Euryarchaeota (miscellaneous)
Euryarchaeota archaeon 13 1 20CM 2 64 15,unclassified Euryarchaeota (miscellaneous)
Euryarchaeota archaeon 13 1 20CM 2 64 92,unclassified Euryarchaeota (miscellaneous)
Euryarchaeota archaeon 13 1 20CM 3 66 7,unclassified Euryarchaeota (miscellaneous)
Euryarchaeota archaeon 13 1 20CM 4 52 7,unclassified Euryarchaeota (miscellaneous)
Euryarchaeota archaeon 13 1 20CM 4 64 10,unclassified Euryarchaeota (miscellaneous)
