Saccharomyces cerevisiae 101S,Saccharomyces cerevisiae
Saccharomyces cerevisiae 228 CU-2,Saccharomyces cerevisiae
Saccharomyces cerevisiae A364A,Saccharomyces cerevisiae
Saccharomyces cerevisiae AWRI1631,Saccharomyces cerevisiae
Saccharomyces cerevisiae AWRI796,Saccharomyces cerevisiae
Saccharomyces cerevisiae BMN1-35,Saccharomyces cerevisiae
Saccharomyces cerevisiae BY2961,Saccharomyces cerevisiae
Saccharomyces cerevisiae BY4741,Saccharomyces cerevisiae
Saccharomyces cerevisiae BY4741-AV16,Saccharomyces cerevisiae
Saccharomyces cerevisiae BY4741-AV8,Saccharomyces cerevisiae
Saccharomyces cerevisiae BY4741-BV19,Saccharomyces cerevisiae
Saccharomyces cerevisiae BY4741-E18,Saccharomyces cerevisiae
Saccharomyces cerevisiae BY4743,Saccharomyces cerevisiae
Saccharomyces cerevisiae CAT-1,Saccharomyces cerevisiae
Saccharomyces cerevisiae,Saccharomyces
Saccharomyces,Saccharomycetaceae
Kluyveromyces,Saccharomycetaceae
Kluyveromyces marxianus,Kluyveromyces
Kluyveromyces marxianus CBs 712,Kluyveromyces marxianus
Kluyveromyces marxianus DMKU3-1042,Kluyveromyces marxianus
Kluyveromyces marxianus var.bulgaricus,Kluyveromyces marxianus
Kluyveromyces marxianus var.marxianus,Kluyveromyces marxianus
Saccharomycetaceae,Saccharomycetales
Saccharomycetales,Saccharomycetes
Alloascoideaceae,Saccharomycetales
Debaryomycetaceae,Saccharomycetales
Nematodospora,Saccharomycetales
Nematodospora valgi,Nematodospora
Scheffersomyces,Saccharomycetales
Scheffersomyces amazonensis,Scheffersomyces
Scheffersomyces coipomoensis,Scheffersomyces
Scheffersomyces cryptocercus,Scheffersomyces
Scheffersomyces illinoinensis,Scheffersomyces
Scheffersomyces insectosa,Scheffersomyces
Scheffersomyces lignosus,Scheffersomyces
Scheffersomyces parashehatae ,Scheffersomyces
Scheffersomyces quercinus,Scheffersomyces
Scheffersomyces segobiensis,Scheffersomyces
Scheffersomyces shehatae,Scheffersomyces
Scheffersomyces spartinae,Scheffersomyces
Scheffersomyces stipitis,Scheffersomyces
Scheffersomyces virginianus,Scheffersomyces
Saccharomycetes,Saccharomycotina
Saccharomycotina,saccharomyceta
unclassified Saccharomycotina,Saccharomycotina
saccharomyceta,Ascomycota
Pezizomycotina,saccharomyceta
Ascomycota,Dikarya
Taphrinomycotina,Ascomycota
unclassified Ascomycota,Ascomycota
Dikarya,Fungi
Entorrhizomycota,Dikarya
Basidiomycota,Dikarya
Blastocladiomycota,Fungi
Chytridiomycota,Fungi
Cryptomycota,Fungi
Microsporidia,Fungi
Mucoromycota,Fungi
Zoopagomycota,Fungi
Fungi,Opisthokonta
Aphelidea,Opisthokonta
Choanoflagellida,Opisthokonta
Metazoa,Opisthokonta
Nucleariidae and Fonticula group,Opisthokonta
Opisthokonta,Eukaryota
Alveolata,Eukaryota
Amoebozoa,Eukaryota
Apusozoa,Eukaryota
Cryptophyta,Eukaryota
Euglenozoa,Eukaryota
Haptophyceae,Eukaryota
Jakobida,Eukaryota
Eumetazoa,Metazoa
Rhodophyta,Eukaryota
Viridiplantae,Eukaryota
Bilateria,Eumetazoa
Deuterostomia,Bilateria
Chordata,Deuterostomia
Craniata,Chordata
Vertebrata,Craniata
Gnathostomata,Vertebrata
Teleostomi,Gnathostomata
Euteleostomi,Teleostomi
Sarcopterygii,Euteleostomi
Dipnotetrapodomorpha,Sarcopterygii
Tetrapoda,Dipnotetrapodomorpha
Amniota,Tetrapoda
Mammalia,Amniota
Theria,Mammalia
Eutheria,Theria
Boreoeutheria,Eutheria
Euarchontoglires,Boreoeutheria
Primates,Euarchontoglires
Haplorrhini,Primates
Simiiformes,Haplorrhini
Catarrhini,Simiiformes
Hominoidea,Catarrhini
Hominidae,Hominoidea
Homininae,Hominidae
Homo,Homininae
Homo sapiens,Homo
